countrycode,"population,participation","public,freedom_civil,society","stability,of,political,system","Domestic,public,security","Functioning,of,justice,system","social,inclusion","geographic,coverage,of,public,services","institutional,solidarity","Traditional,solidarity","Micro,lending","Existence/absence,of,labour,legislation,and,measures","weak,employment,contract,rigisity,,,,,,,,,,,,"
NPL,"2,65","2,44","2,88","2,35","2,26","1,74","1,68","0,63","3,74","3,00","1,00","3,0"
NZL,4,"3,85","4,00","3,87","3,77","3,51","4,00",4,"3,02","0,00","4,00","2,28"
OMN,"1,31","1,49","3,05","3,75","2,22","1,75","2,36","2,58","3,48","0,00","3,00","1,34"
PAK,"1,31","2,28","3,69","1,55","1,50","1,49","2,68","0,63","3,24","2,00","2,00","1,98"
PAN,"2,66","3,59","3,69","3,08","2,77","3,5","2,36","2,53","3,50","2,00","3,00","2,0"
PER,2,"2,64","3,69","2,65","2,25","1,75","3,00","0,94","2,98","3,00","2,00","1,66"
PHL,"2,35","3,43","3,68","2,52","2,55","3,5","4,00",1,"3,50","3,00","2,00","2,0"
POL,"3,69","3,79","4,00","3,66","3,02","3,74","4,00","2,95","3,50","1,00","3,52","2,68"
PRT,3,"4,00","4,00","3,76","3,02","2,75","3,00","2,69","3,50","2,00","4,00","1,36"
PRY,2,"2,79","3,69","2,12","1,98","2,25","3,32","1,63","2,76","2,00","1,00","1,0"
QAT,1,"0,78","2,06","3,67","1,23","1,25","3,05",3,"3,00","0,00","0,00","3,36"
ROU,"2,34","3,43","4,00","3,89","2,77",3,"2,95",3,"3,50","1,00","3,52","3,64"
RUS,2,"1,73","2,57","3,12","2,48","2,51","2,36","3,37","2,72","0,00","2,52","2,0"
SAU,"0,69","0,77","3,68","3,61","1,73","1,49","3,00","2,63","3,50","0,00","1,91","2,34"
SDN,"1,65","1,44","2,38","1,48","2,00",2,"2,64","1,63","2,74","2,00","3,00","2,64"
SEN,"2,35","2,79","2,94","3,34","1,73",3,"1,64","1,31","3,00","4,00","2,48","2,30"
SGP,"2,31","2,14","3,69","3,87","3,47","2,51","3,36","1,9","3,00","0,00","1,44","3,36"
SVK,"3,35","3,85","4,00","3,87","3,51","3,51","3,69",4,"3,50","0,00","3,52","1,0"
SVN,"3,69","3,49","4,00","3,73","2,52","3,5","2,73",4,"3,24","0,00","4,00","2,62"
SWE,"2,69","4,00","4,00","3,89","4,00","3,51","3,68","3,63","1,00","0,00","3,48","3,30"
SYR,1,"0,87","2,76","3,72","1,23","2,74","2,00","1,62","3,50","2,00","1,96","3,70"
TWN,"3,35","3,78","4,00","3,63","3,52","3,25","2,64","2,63","2,98","2,00","3,52","2,0"
TCD,1,"2,21","2,25","1,59","1,48","1,99","1,64","0,63","3,50","2,00","3,00","1,64"
TGO,"1,34","2,58","2,43","3,01","1,27","1,25","1,64","0,63","2,98","2,00","1,48","1,64"
THA,2,"2,86","3,38","2,50","2,25","2,01","3,00",2,"3,26","2,00","3,52","2,0"
TUN,"1,65","1,66","2,69","3,42","1,99","3,49","1,68","1,94","2,50","1,00","3,00","3,0"
TUR,2,"2,41","3,25","2,53","2,49","2,5","1,99","2,26","3,24","2,00","2,52","3,0"
TZA,"2,34","2,79","4,00","3,15","1,00","2,99","3,31",1,"3,00","3,00","2,48","2,32"
UGA,"1,31","2,59","2,57","2,35","1,75","2,75","2,36","0,63","3,76","1,00","2,00","1,64"
UKR,1,"2,44","3,06","3,28","2,00","2,49","2,32","2,27","3,50","2,00","2,04","2,64"
URY,3,"4,00","4,00","3,87","3,25","3,75","2,36",3,"2,50","1,00","3,00","1,0"
USA,"3,35","3,64","4,00","3,64","2,74","3,01","3,68","2,32","1,50","1,00","3,52","1,72"
UZB,"0,97","1,15","1,63","3,23","1,73","2,99","4,00","1,95","4,00","3,00","1,48","2,64"
VEN,"2,35","2,16","2,26","2,08","1,00","3,74","2,63","2,31","2,24","2,00","3,52","1,70"
VNM,1,"1,36","4,00","3,40","1,51","2,25","3,00","1,32","2,98","1,00","2,00","2,70"
YEM,2,"2,01","3,69","1,85","1,77","1,25","1,64",1,"3,50","1,00","1,00","4,0"
ZAF,"2,35","3,44","4,00","2,61","2,77",3,"2,69",4,"3,24","1,00","2,96","2,36"
ZMB,"2,65","2,36","2,25","3,00","2,00",3,"1,64",2,"3,24","2,00","2,00","2,36"
ZWE,2,"1,95","1,00","2,08","1,00","2,99","1,65",1,"3,50","1,00","1,00","3,36"
