Name_A2;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Democratic People's Republic of Korea;19632937;21737776;22958239;24132670;25352204;26748399;28303489;30146220;32135032;34291659;36506682;38941845;41642362;43447752;45316359;47226649;49110291;50969385;52800649;54529980;56240033;57877953;59437434
Lao People's Democratic Republic;4065432;4771497;5509636;6372313;7288632;8259131;9293933;10477170;11732442;13070050;14457161;15897252;17423751;18228811;19064530;19888274;20694523;21472516;22212857;22894907;23561586;24199045;24797782
Mongolia;2180160;2457553;2622239;2863091;3146501;3460349;3773795;4119719;4500351;4906927;5297585;5682192;6080716;6342806;6619915;6897633;7179343;7457528;7726611;7982193;8237377;8484306;8716746
Viet Nam;65003072;74155469;80793491;87912747;96605733;105683647;115038145;125212049;136232916;148363255;160531697;172931347;185847787;193932502;202373877;210791230;219278044;227584952;235616417;243309326;251023910;258453229;265462657
Afghanistan;13879161;19154003;21944737;26406182;31695198;36358874;41404288;46764998;52528390;58584149;64789086;70655525;75879119;77863683;79493922;80745224;81593041;82015023;81991380;81507274;80843067;79995697;78974013
Bangladesh;111669197;124228733;138349599;155390970;172917620;190894205;208838250;226374767;243613429;261621448;279822457;297245297;313610939;323403711;331836140;338801608;344178002;347844466;349709465;349676260;348706496;346772088;343889679
Bhutan;1721840;1837998;2102256;2428559;2789557;3189423;3609914;4032092;4458133;4872660;5260777;5625180;5984251;6163598;6316806;6441446;6535525;6596171;6622026;6611935;6584447;6538152;6473551
India;857511598;931446121;1015687370;1098182829;1179462478;1257477921;1331894353;1404482773;1475546366;1542995252;1606529680;1663770750;1715304542;1775403735;1828538424;1873984613;1910918843;1938728724;1957012404;1965012284;1967089288;1962987133;1952851405
Maldives;218889;251240;293403;344649;402999;467944;536672;606509;677355;746488;810312;869462;927806;955430;979011;998292;1012809;1022132;1026046;1024378;1020019;1012710;1002570
Nepal;18413584;20526193;23221260;26227547;29452564;32953815;36663401;40403502;44063639;47386387;50664545;53966619;57115404;58858454;60348396;61560836;62478985;63081898;63356606;63285962;63047342;62631266;62034663
Pakistan;111452286;124112746;142334910;162450465;184476159;208754628;234011575;259026157;283032335;304523764;325038725;345552619;364889071;376141555;385797510;393719796;399777187;403796126;405703775;405421824;404057198;401528405;397802863
Sri Lanka;17275979;18133965;19039466;20094799;21081324;21962390;22670696;23201805;23666096;24062161;24370338;24517064;24517876;25473812;26324858;27083048;27738587;28263818;28654147;28901168;29050213;29100197;29053678
