YY	MM	DD	HH	"1"	"2"
routed discharge [mm per subbasi] routing_model
2001	 1	10	24	0.80864	0.88450
2001	 1	11	24	0.72230	0.81073
2001	 1	12	24	0.65008	0.75113
2001	 1	13	24	0.59332	0.70157
2001	 1	14	24	0.54726	0.66130
2001	 1	15	24	0.51080	0.62773
2001	 1	16	24	0.48070	0.59934
2001	 1	17	24	0.45594	0.57472
2001	 1	18	24	0.43531	0.55321
2001	 1	19	24	0.41800	0.53399
2001	 1	20	24	0.40350	0.51638
2001	 1	21	24	0.39076	0.50058
2001	 1	22	24	0.37993	0.48641
2001	 1	23	24	0.38216	0.47354
2001	 1	24	24	0.66880	0.46167
2001	 1	25	24	0.91323	0.45060
2001	 1	26	24	0.87891	0.44226
2001	 1	27	24	0.80863	0.43755
2001	 1	28	24	0.74809	0.42897
2001	 1	29	24	0.66665	0.42754
2001	 1	30	24	0.64574	0.42037
2001	 1	31	24	0.58710	0.41245
2001	 2	 1	24	0.55205	0.40485
2001	 2	 2	24	0.51912	0.39736
2001	 2	 3	24	0.47634	0.39019
2001	 2	 4	24	0.55430	0.38332
2001	 2	 5	24	1.25008	0.40924
2001	 2	 6	24	2.23368	0.89536
2001	 2	 7	24	3.19149	1.72777
2001	 2	 8	24	3.52987	2.09507
2001	 2	 9	24	3.33822	2.39385
2001	 2	10	24	2.71956	2.09684
2001	 2	11	24	2.36931	2.02891
2001	 2	12	24	2.60204	2.93395
2001	 2	13	24	2.35605	2.87200
2001	 2	14	24	2.03938	2.62367
2001	 2	15	24	1.94218	2.97322
2001	 2	16	24	1.80658	2.95769
2001	 2	17	24	1.60189	2.65651
2001	 2	18	24	1.40663	2.32739
2001	 2	19	24	1.28108	2.08857
2001	 2	20	24	1.19647	1.92584
2001	 2	21	24	1.38379	1.79499
2001	 2	22	24	2.42500	1.66053
2001	 2	23	24	2.03810	1.54197
2001	 2	24	24	1.70919	1.44271
2001	 2	25	24	1.45902	1.35537
2001	 2	26	24	1.29542	1.27856
2001	 2	27	24	1.26501	1.21305
2001	 2	28	24	1.33915	1.15660
2001	 3	 1	24	1.52324	1.10576
2001	 3	 2	24	1.51665	1.06011
2001	 3	 3	24	1.72194	1.01957
2001	 3	 4	24	1.94456	0.98290
2001	 3	 5	24	1.70620	0.94959
2001	 3	 6	24	1.69082	0.91713
2001	 3	 7	24	1.91097	0.89047
2001	 3	 8	24	2.79412	0.92411
2001	 3	 9	24	3.85182	1.58732
2001	 3	10	24	4.84793	2.70055
2001	 3	11	24	5.58515	3.92575
2001	 3	12	24	8.76662	7.81080
2001	 3	13	24	8.29130	8.58233
2001	 3	14	24	7.01400	7.66401
2001	 3	15	24	5.92536	6.77369
2001	 3	16	24	5.21434	6.43267
2001	 3	17	24	5.84889	7.09337
2001	 3	18	24	6.02473	8.15079
2001	 3	19	24	5.93786	8.18464
2001	 3	20	24	5.11891	7.28357
2001	 3	21	24	4.34125	6.11842
2001	 3	22	24	4.34654	5.19327
2001	 3	23	24	4.50346	4.76812
