Globalstrahlung [W/m²d] []
YYYY	MM	DD	HH	877	882	720	385	480	227	384	214	385	877
YYYY	MM	DD	HH	4623488.7988	4623101.10891	4621947.43676	4609997.7677	4606797.8645	4623183	4605986	4611169	4610065	4623539
YYYY	MM	DD	HH	5623995.47668	5624003.77103	5629667.1442	5649664.40457	5641616.25068	5667440	5646718	5650845	5648627	5622933
YYYY	MM	DD	HH	RStat1	RStat2	RStat3	RStat4	RStat5	RStat6	RStat7	RStat8	RStat9	RStat10
2000	06	06	24	2363.9177	1983.3	1872.9000	1936.5	9999.0	9999	9999	9999	9999	9999
2000	06	07	24	4240.8679	3787.9	4434.7800	4876.6	9999.0	9999	9999	9999	9999	9999
2000	06	08	24	5462.9900	5249.4	5665.8700	6831.1	9999.0	9999	9999	9999	9999	9999
2000	06	09	24	8236.8720	8195.7	8706.7300	8564.4	9999.0	9999	9999	9999	9999	9999
2000	06	10	24	8059.0378	8046.6	8626.0500	8308.5	9999.0	9999	9999	9999	9999	9999
2000	06	11	24	6620.5759	6671.9	7027.0300	6571.3	9999.0	9999	9999	9999	9999	9999
2000	06	12	24	6771.2618	6397.9	7459.9700	6676.9	9999.0	9999	9999	9999	9999	9999
2000	06	13	24	7798.3799	7764.9	8216.8700	8048.4	9999.0	9999	9999	9999	9999	9999
2000	06	14	24	5917.2729	5364.1	4077.5600	3677.3	9999.0	9999	9999	9999	9999	9999
2000	06	15	24	3126.7730	2767.5	2862.5800	2618.4	9999.0	9999	9999	9999	9999	9999
2000	06	16	24	5122.2800	4907.0	5418.4900	5931.3	9999.0	9999	9999	9999	9999	9999
2000	06	17	24	7229.4199	7409.6	6811.5200	6992.6	9999.0	9999	9999	9999	9999	9999
2000	06	18	24	7505.5910	7360.5	8050.1600	7476.0	9999.0	9999	9999	9999	9999	9999
2000	06	19	24	8144.6280	8243.2	8704.9300	8494.6	9999.0	9999	9999	9999	9999	9999
2000	06	20	24	8016.3788	8160.8	8450.4400	8454.4	9999.0	9999	9999	9999	9999	9999
2000	06	21	24	6068.5150	6348.7	7535.4100	6575.0	9999.0	9999	9999	9999	9999	9999
2000	06	22	24	5870.7359	5884.6	6642.2800	6988.1	9999.0	9999	9999	9999	9999	9999
2000	06	23	24	2640.6380	2613.0	2642.6500	3455.8	9999.0	9999	9999	9999	9999	9999
