Feuchte [%]
2000 05 02 24	62.957	71.375	53.875	64.542	9999	63.987	64.758	65.858
2000 05 03 24	42.028	62.927	40.917	52.458	9999	42.025	34.4	47.483
2000 05 04 24	60.063	65.823	56.083	62	9999	55.817	47.888	54.263
2000 05 05 24	64.971	69.083	56.708	59.667	9999	54.229	48.517	59.642
2000 05 06 24	58.998	62.344	49.875	55.292	9999	48.833	44.008	51.071
2000 05 07 24	54.432	59.927	47.417	52.333	9999	43.217	39.133	50.342
2000 05 08 24	76.365	73.854	59.083	72.542	9999	69.838	63.763	70.688
2000 05 09 24	76.47	83.01	74.625	78.833	9999	80.529	73.55	82.2
2000 05 10 24	71.017	75.458	71.208	75.083	9999	76.542	70.183	74.3
2000 05 11 24	68.078	75.729	64.208	66.833	9999	67.037	60.663	68.254
2000 05 12 24	61.491	62.76	49.375	64.958	9999	63.358	59.446	58.471
2000 05 13 24	49.261	54.594	40.417	54.875	9999	49.771	43.183	47.358
2000 05 14 24	54.817	61.042	46.542	52.167	9999	45.212	38.362	44.65
2000 05 15 24	53.497	61.937	44.417	51.833	9999	45.638	39.042	45.038
2000 05 16 24	48.294	58.469	40.625	49.875	9999	38.925	29.367	39.888
2000 05 17 24	70.227	69.896	66.167	69.458	9999	62.487	57.325	65.079
2000 05 18 24	82.436	80.927	77.75	89.125	9999	92.017	92.221	86.725
2000 05 19 24	78.035	77.198	74.208	86.167	9999	87.033	85.367	80.912
2000 05 20 24	86.278	86.094	77.75	92.042	9999	93.067	90.554	85.971
2000 05 21 24	72.49	81.156	68.333	82.5	9999	83.767	78.7	78.088
2000 05 22 24	94.247	94.312	92.292	96.5	9999	95.379	95.346	96.004
2000 05 23 24	73.867	73.292	70.167	84.125	9999	85.379	82.158	81.054
2000 05 24 24	66.247	60.594	63.792	79.417	9999	75.917	66.854	66.546
2000 05 25 24	65.056	66.74	63.333	75.958	9999	72.646	65.283	66.954
2000 05 26 24	65.102	69.656	63.167	80.208	9999	78.879	72.8	70.188
2000 05 27 24	77.721	74.615	72.292	88.417	9999	88.371	82.817	77.404
2000 05 28 24	74.994	71.094	72.208	89.542	9999	88.154	80.7	77.362
2000 05 29 24	67.182	66.229	61.583	75.958	9999	75.671	70.817	66.354
2000 05 30 24	73.84	74.24	71.333	79.208	9999	80.412	74.858	76.25
2000 05 31 24	91.083	85.74	79.875	88.042	9999	91.842	90.054	90.662
2000 06 01 24	61.277	64.042	57.667	69.083	9999	67.862	60.079	64.967
2000 06 02 24	56.715	62.448	51.292	69.625	9999	67.421	59.608	62.883
2000 06 03 24	58.929	64.229	55.333	63.125	9999	61.371	53.704	56.633
2000 06 04 24	64.306	68.573	64.458	71.25	9999	70.346	59.417	66.438
2000 06 05 24	72.261	74.812	72.167	81.583	9999	80.354	73.529	79.629
2000 06 06 24	85.891	82.479	77.375	94.958	9999	95.575	94.271	86.542
2000 06 07 24	84.019	76.187	78.333	91.083	9999	93.412	91.679	83.812
2000 06 08 24	66.22	62.604	57.875	75.167	9999	76.496	72.312	69.554
2000 06 09 24	53.484	59.698	49.75	69.667	9999	67.921	58.25	59.375
2000 06 10 24	56.868	57.854	49.542	70.083	9999	67.929	58.554	60.875
2000 06 11 24	76.454	76.354	74.667	75.417	9999	73.408	67.671	79.192
2000 06 12 24	73.859	75.719	70.5	80.625	9999	82.833	77.912	76.287
2000 06 13 24	65.003	63.698	60.292	73.417	9999	72.621	63	67.867
2000 06 14 24	9999	81.594	78.042	88.375	9999	90.008	90.208	86.379
2000 06 15 24	9999	81.198	83.125	93.333	9999	94.925	93.908	90.662
2000 06 16 24	9999	67.656	60.083	76.458	9999	78.954	75.117	67.383
2000 06 17 24	9999	66.187	58.375	72.75	9999	74.425	70.017	64.412
2000 06 18 24	9999	55.625	47.333	52.417	9999	50.446	42.438	49.525
2000 06 19 24	9999	56.115	40.083	53.625	9999	48.196	39.275	44.792
2000 06 20 24	9999	49.969	38.083	49.875	9999	44.054	36.079	40.612
2000 06 21 24	9999	47.146	36.083	44.958	9999	39.288	30.067	36.804
2000 06 22 24	9999	60.344	49.292	56.875	9999	52.733	48.612	50.458
2000 06 23 24	9999	79.25	64.833	85.833	9999	87.804	83.929	74.021
2000 06 24 24	9999	73.823	72.75	82.208	9999	83.883	76.725	77.883
2000 06 25 24	9999	80.208	73.208	88.167	9999	90.208	85.454	76.033
2000 06 26 24	9999	74.354	68.375	87.125	9999	89.446	86.892	78.713
2000 06 27 24	9999	67.01	65.208	81.667	9999	83.592	78.767	74.408
2000 06 28 24	9999	63.073	58.5	74.708	9999	75.917	70.308	64.133
2000 06 29 24	9999	66.698	61.042	79.042	9999	81.567	75.796	66.162
2000 06 30 24	9999	60.385	56.042	72.5	9999	73.862	68.046	60.85
2000 07 01 24	9999	66.51	61.292	73	9999	75.458	67.821	64.308
2000 07 02 24	9999	76.49	69.792	82.042	9999	85.542	78.567	75.1
2000 07 03 24	9999	68.937	70.167	80.083	9999	82.058	75.362	75.933
2000 07 04 24	9999	85.302	78.083	86.333	9999	85.331	85.092	83.942
2000 07 05 24	9999	82.51	84.583	89.875	9999	9999	90.825	88.146
2000 07 06 24	9999	74.427	72.708	85.417	9999	9999	83.763	76.792
2000 07 07 24	9999	80.437	78.542	89.875	9999	9999	91.992	89.871
2000 07 08 24	9999	93.979	94.958	97.708	9999	9999	99.692	98.588
2000 07 09 24	9999	75.896	73.5	87.25	9999	9999	86.825	82.333
2000 07 10 24	9999	73.365	73.667	92.75	9999	9999	86.904	79.817
2000 07 11 24	9999	74.677	71.958	90.958	9999	9999	83.617	74.142
